cost_per_u,nervousness,otif,recovery_days,rho,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
89.92,0.022,0.9504,5,0.6,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,0.7,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,0.8,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,0.85,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,0.9,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,0.95,0.0,3000,0,12,ok,3.42,6.5729780468247725
89.92,0.022,0.9504,5,1.0,0.0,3000,0,12,ok,3.42,6.5729780468247725
126.96,0.022,0.9494,17,0.6,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,0.7,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,0.8,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,0.85,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,0.9,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,0.95,0.0,3001,0,12,ok,4.8,7.494240212565671
126.96,0.022,0.9494,17,1.0,0.0,3001,0,12,ok,4.8,7.494240212565671
134.82,0.044,0.9508,17,0.6,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,0.7,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,0.8,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,0.85,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,0.9,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,0.95,0.0,3002,0,14,ok,6.04,9.155116690472143
134.82,0.044,0.9508,17,1.0,0.0,3002,0,14,ok,6.04,9.155116690472143
103.28,0.022,0.9395,12,0.6,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,0.7,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,0.8,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,0.85,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,0.9,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,0.95,0.0,3003,0,12,ok,4.89,7.9949478997171655
103.28,0.022,0.9395,12,1.0,0.0,3003,0,12,ok,4.89,7.9949478997171655
74.43,0.044,0.9498,10,0.6,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,0.7,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,0.8,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,0.85,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,0.9,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,0.95,0.0,3004,0,15,ok,3.51,5.097335410077336
74.43,0.044,0.9498,10,1.0,0.0,3004,0,15,ok,3.51,5.097335410077336
